

for i in `seq 1 20`; do python3 Optimization.py set_1_final.txt 1e-$i; done        
TH: 0.1 ACC: 0.9999718901749134 MCC: 0.9789312423879412 CM: [array([284406.,      0.]), array([  8., 184.])]
TH: 0.01 ACC: 0.9999824313593209 MCC: 0.9866751535423923 CM: [array([284409.,      0.]), array([  5., 184.])]
TH: 0.001 ACC: 0.9999859450874566 MCC: 0.9892975485081251 CM: [array([284410.,      0.]), array([  4., 184.])]
TH: 0.0001 ACC: 0.9999859450874566 MCC: 0.9892975485081251 CM: [array([284410.,      0.]), array([  4., 184.])]
TH: 1e-05 ACC: 0.9999859450874566 MCC: 0.9892975485081251 CM: [array([284410.,      0.]), array([  4., 184.])]
TH: 1e-06 ACC: 0.9999859450874566 MCC: 0.9892975485081251 CM: [array([284410.,      0.]), array([  4., 184.])]
TH: 1e-07 ACC: 0.9999789176311851 MCC: 0.9837876272132172 CM: [array([2.8441e+05, 2.0000e+00]), array([  4., 182.])]
TH: 1e-08 ACC: 0.9999789176311851 MCC: 0.9837876272132172 CM: [array([2.8441e+05, 2.0000e+00]), array([  4., 182.])]
TH: 1e-09 ACC: 0.9999789176311851 MCC: 0.9837876272132172 CM: [array([2.8441e+05, 2.0000e+00]), array([  4., 182.])]
TH: 1e-10 ACC: 0.9999789176311851 MCC: 0.9837876272132172 CM: [array([2.8441e+05, 2.0000e+00]), array([  4., 182.])]
TH: 1e-11 ACC: 0.9999754039030492 MCC: 0.9810211114748307 CM: [array([2.8441e+05, 3.0000e+00]), array([  4., 181.])]
TH: 1e-12 ACC: 0.9999718901749134 MCC: 0.9782468055599294 CM: [array([2.8441e+05, 4.0000e+00]), array([  4., 180.])]
TH: 1e-13 ACC: 0.9999648627186417 MCC: 0.9726745573103177 CM: [array([2.8441e+05, 6.0000e+00]), array([  4., 178.])]
TH: 1e-14 ACC: 0.9999648627186417 MCC: 0.9726745573103177 CM: [array([2.8441e+05, 6.0000e+00]), array([  4., 178.])]
TH: 1e-15 ACC: 0.9999648627186417 MCC: 0.9726745573103177 CM: [array([2.8441e+05, 6.0000e+00]), array([  4., 178.])]
TH: 1e-16 ACC: 0.9999543215342342 MCC: 0.9642560716700231 CM: [array([2.8441e+05, 9.0000e+00]), array([  4., 175.])]
TH: 1e-17 ACC: 0.9999367528935551 MCC: 0.9500602328547808 CM: [array([2.8441e+05, 1.4000e+01]), array([  4., 170.])]
TH: 1e-18 ACC: 0.9998875606996536 MCC: 0.9091387484815447 CM: [array([2.8441e+05, 2.8000e+01]), array([  4., 156.])]
TH: 1e-19 ACC: 0.9998664783308386 MCC: 0.8910284913944736 CM: [array([2.8441e+05, 3.4000e+01]), array([  4., 150.])]
TH: 1e-20 ACC: 0.9998313410494803 MCC: 0.8600017065661951 CM: [array([2.8441e+05, 4.4000e+01]), array([  4., 140.])]



for i in `seq 1 20`; do python3 Optimization.py set_2_final.txt 1e-$i; done           
